ind,user_id,date,yes_no,start_etime,end_etime,start_stime,end_stime,source,target,trip_time_sec,path
222,c829fa4183f082b4,02/07/2021,yes,1612659710137,1612663960449,2021-02-07 09:01:50,2021-02-07 10:12:40,L9_R2_LL,L9_CG_garden_zone_2,4250,"['L9_R2_LL', 'L10_R2_LL', 'L9_R2_LL', 'L8_R2_LL', 'L7_R2_LL', 'L6_R2_LL', 'L6_R2_LL_corridor', 'L6_Deck_4', 'L6_FC_walkway', 'L6_ST_5', 'L6_FC', 'L6_ST_4', 'L6_AAH_walkway', 'L6_CCC_walkway', 'L6_AAH_walkway', 'L6_CCC_walkway', 'L6_SLL_corridor', 'L6_SLL', 'L7_SLL', 'L8_SLL', 'L9_SLL', 'L9_SLL_corridor', 'L9_CG_sitting_area', 'L9_CG_entrance', 'L9_CG_steps_zone_1', 'L9_CG_steps_zone_2', 'L9_CG_steps_zone_1', 'L9_CG_entrance', 'L9_CG_garden_zone_1', 'L9_CG_garden_zone_2']"
223,c829fa4183f082b4,02/07/2021,yes,1612664323696,1612665845739,2021-02-07 10:18:43,2021-02-07 10:44:05,L9_CG_garden_zone_3,L9_R2_LL,1522,"['L9_CG_garden_zone_3', 'L9_CG_garden_zone_2', 'L9_CG_garden_zone_1', 'L9_CG_entrance', 'L9_CG_sitting_area', 'L9_SLL_corridor', 'L9_SLL', 'L8_SLL', 'L7_SLL', 'L6_SLL', 'L6_SLL_corridor', 'L6_CCC_walkway', 'L6_ST_1', 'L6_CCC_walkway', 'L6_CLL', 'L6_AAH_walkway', 'L6_ST_4', 'L6_FC', 'L6_FC_walkway', 'L6_Deck_4', 'L6_R2_LL_corridor', 'L6_R2_LL', 'L7_R2_LL', 'L8_R2_LL', 'L9_R2_LL', 'L10_R2_LL', 'L9_R2_LL']"
224,c829fa4183f082b4,02/07/2021,yes,1612671766135,1612671932985,2021-02-07 12:22:46,2021-02-07 12:25:32,L10_R2_LL,L6_CLL,166,"['L10_R2_LL', 'L9_R2_LL', 'L8_R2_LL', 'L7_R2_LL', 'L6_R2_LL', 'L6_R2_LL_corridor', 'L6_Deck_3', 'L6_R2_LL_corridor', 'L6_Deck_4', 'L6_FC_walkway', 'L6_FC', 'L6_ST_4', 'L6_AAH_walkway', 'L6_CLL']"
225,c829fa4183f082b4,02/07/2021,yes,1612673553996,1612673753825,2021-02-07 12:52:33,2021-02-07 12:55:53,L2_FC_zone_1,L9_R2_LL,199,"['L2_FC_zone_1', 'L2_FC_zone_8', 'L2_FC_zone_8_walkway', 'L2_CLL', 'L3_CLL', 'L4_CLL', 'L6_CLL', 'L6_AAH_walkway', 'L6_CCC_walkway', 'L6_AAH_walkway', 'L6_ST_4', 'L6_FC', 'L6_FC_walkway', 'L6_Deck_4', 'L6_R2_LL_corridor', 'L6_R2_LL', 'L7_R2_LL', 'L8_R2_LL', 'L9_R2_LL', 'L10_R2_LL', 'L9_R2_LL']"
226,c829fa4183f082b4,02/15/2021,yes,1613350340781,1613351041771,2021-02-15 08:52:20,2021-02-15 09:04:01,L10_R2_LL,L6_AAH_walkway,700,"['L10_R2_LL', 'L9_R2_LL', 'L8_R2_LL', 'L7_R2_LL', 'L6_R2_LL', 'L7_R2_LL', 'L6_R2_LL', 'L5_R2_LL', 'L6_R2_LL', 'L6_R2_LL_corridor', 'L6_Deck_4', 'L6_FC_walkway', 'L6_FC', 'L6_ST_4', 'L6_AAH_walkway']"
227,c829fa4183f082b4,02/15/2021,yes,1613351460123,1613356452431,2021-02-15 09:11:00,2021-02-15 10:34:12,L6_CLL,L10_R2_LL,4992,"['L6_CLL', 'L6_CCC_walkway', 'L6_AAH_walkway', 'L6_ST_4', 'L6_FC', 'L6_ST_5', 'L6_FC_walkway', 'L6_Deck_4', 'L6_R2_LL_corridor', 'L6_R2_LL', 'L7_R2_LL', 'L8_R2_LL', 'L9_R2_LL', 'L10_R2_LL']"
228,c829fa4183f082b4,02/15/2021,yes,1613362584541,1613363147622,2021-02-15 12:16:24,2021-02-15 12:25:47,L10_R2_LL,L1_CP_zone_3,563,"['L10_R2_LL', 'L9_R2_LL', 'L8_R2_LL', 'L7_R2_LL', 'L6_R2_LL', 'L6_R2_LL_corridor', 'L6_Deck_4', 'L6_FC_walkway', 'L6_ST_5', 'L6_AAH_walkway', 'L6_CLL', 'L4_CLL', 'L3_CLL', 'L2_CLL', 'L2_FC_zone_8_walkway', 'L2_FC_zone_9_walkway', 'L2_FC_zone_11', 'L2_FC_zone_9_walkway', 'L2_FC_zone_8_walkway', 'L2_FC_zone_8', 'L2_FC_zone_1', 'L1_Yassin_walkway', 'L1_Entrance_1_lobby', 'L1_Yassin_walkway', 'L1_CP_zone_2', 'L1_CP_zone_3']"
229,c829fa4183f082b4,02/15/2021,yes,1613363592664,1613363641001,2021-02-15 12:33:12,2021-02-15 12:34:01,L1_R2_LL,L10_R2_LL,48,"['L1_R2_LL', 'L4_R2_LL', 'L5_R2_LL', 'L6_R2_LL', 'L7_R2_LL', 'L8_R2_LL', 'L9_R2_LL', 'L10_R2_LL']"
230,cce9b74412cfe867,02/26/2021,yes,1614323585259,1614323773847,2021-02-26 15:13:05,2021-02-26 15:16:13,L6_AAH_walkway,L1_Entrance_8,188,"['L6_AAH_walkway', 'L6_CLL', 'L4_CLL', 'L3_CLL', 'L2_CLL', 'L1_CLL', 'L1_Shop_walkway_2', 'L1_Shop_walkway_3', 'L1_ELL', 'L1_Entrance_8']"
231,d1d655279d592f3f,02/10/2021,yes,1612930277270,1612933535388,2021-02-10 12:11:17,2021-02-10 13:05:35,L6_Deck_3,L6_ELL,3258,"['L6_Deck_3', 'L6_Link_bridge', 'L6_Deck_3', 'L6_R2_LL_corridor', 'L6_Deck_4', 'L6_FC_walkway', 'L6_FC', 'L6_ST_4', 'L6_AAH_walkway', 'L6_ELL_corridor', 'L6_ELL']"
232,d1d655279d592f3f,02/10/2021,yes,1612950667767,1612950789397,2021-02-10 17:51:07,2021-02-10 17:53:09,L6_FC,L1_CLL,121,"['L6_FC', 'L6_ST_4', 'L6_AAH_walkway', 'L6_CCC_walkway', 'L6_AAH_walkway', 'L6_CLL', 'L4_CLL', 'L3_CLL', 'L2_CLL', 'L1_CLL']"
233,d1d655279d592f3f,02/11/2021,yes,1613014165880,1613014184823,2021-02-11 11:29:25,2021-02-11 11:29:44,L6_R2_LL,L6_Deck_4,18,"['L6_R2_LL', 'L6_R2_LL_corridor', 'L6_Deck_4']"
234,d1d655279d592f3f,02/11/2021,yes,1613014639735,1613015535056,2021-02-11 11:37:19,2021-02-11 11:52:15,L6_ELL,L1_Entrance_8,895,"['L6_ELL', 'L6_ELL_corridor', 'L6_AAH_walkway', 'L6_ST_4', 'L6_FC', 'L6_ST_4', 'L6_AAH_walkway', 'L6_CCC_walkway', 'L6_AAH_walkway', 'L6_CLL', 'L4_CLL', 'L3_CLL', 'L2_CLL', 'L1_CLL', 'L1_Shop_walkway_2', 'L1_CLL', 'B1_CLL', 'B1_Posb_bank', 'B1_Supermarket_entrance_1', 'L1_Shop_walkway_3', 'L1_ELL', 'L1_Entrance_8']"
235,d374f1f860365cf0,02/04/2021,yes,1612431012547,1612431207279,2021-02-04 17:30:12,2021-02-04 17:33:27,L1_CP_zone_2,L1_Thoroughfare,194,"['L1_CP_zone_2', 'L1_CP_zone_1', 'L1_Entrance_6', 'L1_Thoroughfare']"
236,d374f1f860365cf0,02/04/2021,yes,1612444668753,1612444765421,2021-02-04 21:17:48,2021-02-04 21:19:25,L1_Thoroughfare,L1_CP_zone_2,96,"['L1_Thoroughfare', 'L1_PG', 'L1_Entrance_5', 'L1_Entrance_6', 'L1_CP_zone_1', 'L1_CP_zone_2']"
