,Unnamed: 0,Unnamed: 0.1,Unique ID,Macaddress,Temperature,Light,packets,namespace,txPower,interval,batteryLevel,Floor,location_id,zone_predicted,zone_to_use,zone_truth,N_True,N_False,N_total,N_false/N_total,node_or_neighbor,node_or_neighbor/N_total
72,72,52,suXvWF,C4:EB:8E:28:B9,21,7,"EDDYSTONE_UID,KONTAKT,KONTAKT_TLM",f7826da6bc5b71e00621,1,350,100,6,21,L6_FC,L6_FC,"{'L6_AAH_walkway': 4, 'L6_FC': 18, 'L6_ST_5': 5, 'L6_FC_walkway': 3, 'L6_ST_4': 14}",18,26,44,0.590909091,40,0.909090909
73,73,67,suhJ38,F8:49:B7:8C:D0,23,0,"EDDYSTONE_UID,KONTAKT,KONTAKT_TLM",f7826da6bc5b71e00701,1,350,100,7,1,L7_SLL,L7_SLL,"{'L7_SLL': 23, 'L7_SLL_corridor': 1}",23,1,24,0.041666667,24,1
74,74,3,su1fTQ,EA:B6:94:26:F2,23,7,"EDDYSTONE_UID,KONTAKT,KONTAKT_TLM",f7826da6bc5b71e00702,1,350,100,7,2,L7_AAH_walkway,L7_AAH_walkway,"{'L7_SLL_corridor': 14, 'L7_AAH_walkway': 13, 'L7_CCC_walkway': 3}",13,17,30,0.566666667,30,1
75,75,20,suF1Df,F8:C6:69:11:0C,22,3,"EDDYSTONE_UID,KONTAKT,KONTAKT_TLM",f7826da6bc5b71e00703,1,350,100,7,3,L7_CLL,L7_CLL,"{'L7_CLL': 22, 'L7_CCC_walkway': 1}",22,1,23,0.043478261,23,1
76,76,91,susJnU,DE:EF:06:92:0C,21,3,"EDDYSTONE_UID,KONTAKT,KONTAKT_TLM",f7826da6bc5b71e00704,1,350,100,7,4,L7_ELL,L7_ELL,"{'L7_ELL': 47, 'L7_ELL_corridor': 2}",47,2,49,0.040816327,49,1
77,77,65,sufuG5,EA:09:46:77:A4,22,11,"EDDYSTONE_UID,KONTAKT,KONTAKT_TLM",f7826da6bc5b71e00705,1,350,100,7,5,L7_CCC_walkway,L7_CCC_walkway,"{'L7_AAH_walkway': 8, 'L7_CCC_walkway': 13, 'L6_FC_walkway': 1}",13,9,22,0.409090909,21,0.954545455
78,78,23,suFxhy,E8:1E:03:14:96,22,5,"EDDYSTONE_UID,KONTAKT,KONTAKT_TLM",f7826da6bc5b71e00706,1,350,100,7,6,,L7_R1_LL,,0,0,0,,0,
79,79,1,su0XaL,C9:F6:46:5F:7C,23,0,"EDDYSTONE_UID,KONTAKT,KONTAKT_LOCATION,KONTAKT_TLM",f7826da6bc5b71e00707,1,350,100,7,7,,L7_R2_LL,,0,0,0,,0,
80,80,21,suFBfT,E8:64:AD:8D:D6,23,5,"EDDYSTONE_UID,KONTAKT,KONTAKT_TLM",f7826da6bc5b71e00801,1,350,100,8,1,L8_SLL,L8_SLL,"{'L8_SLL_corridor': 3, 'L8_SLL': 58, 'L8_L7_lift': 1}",58,4,62,0.064516129,61,0.983870968
81,81,55,suaWyv,CD:B4:3B:09:06,22,1,"EDDYSTONE_UID,KONTAKT,KONTAKT_TLM",f7826da6bc5b71e00802,1,350,100,8,2,L8_CLL,L8_CLL,"{'L8_RG_zone_2': 4, 'L8_CLL': 34}",34,4,38,0.105263158,38,1
