,Unnamed: 0,Unnamed: 0.1,Unique ID,Macaddress,Temperature,Light,packets,namespace,txPower,interval,batteryLevel,Floor,location_id,zone_predicted,zone_to_use,zone_truth,N_True,N_False,N_total,N_false/N_total,node_or_neighbor,node_or_neighbor/N_total
10,10,38,suPosh,DD:A8:EE:9F:23,23,12,"EDDYSTONE_UID,KONTAKT,KONTAKT_TLM",f7826da6bc5b71e00111,2,350,100,1,11,L1_Entrance_1_lobby,L1_Entrance_1_lobby,"{'L2_L1_steps': 1, 'L1_Entrance_1_lobby': 39, 'L1_Entrance_1': 7, 'L1_Yassin_walkway': 2, 'L1_CP_zone_2': 3, 'L1_CP_zone_3': 2}",39,15,54,0.277777778,48,0.888888889
11,11,120,Vu0H6p,F1:B3:C4:03:63,,,"EDDYSTONE_UID,KONTAKT,KONTAKT_TLM",f7826da6bc5b71e00112,2,350,100,1,12,L1_CP_zone_2,L1_CP_zone_2,"{'L2_L1_steps': 1, 'L1_Entrance_1_lobby': 1, 'L1_Yassin_walkway': 12, 'L1_Shop_walkway_1': 1, 'L1_Shop_walkway_2': 1, 'L1_CP_zone_2': 14, 'L2_FC_zone_8_walkway': 1, 'L1_Entrance_7': 1}",14,18,32,0.5625,26,0.8125
12,12,117,Vukmrv,CA:3D:EB:97:A8,,,"EDDYSTONE_UID,KONTAKT,KONTAKT_TLM",f7826da6bc5b71e00113,2,350,100,1,13,L1_CP_zone_3,L1_CP_zone_3,"{'L1_CP_zone_3': 6, 'L1_Fish_pond': 5, 'L1_CP_zone_1': 1, 'L1_CP_zone_4': 8, 'L1_Entrance_4': 2}",6,16,22,0.727272727,17,0.772727273
13,13,114,VuEx1j,C5:D2:E9:A9:AC,,,"EDDYSTONE_UID,KONTAKT,KONTAKT_TLM",f7826da6bc5b71e00114,1,350,100,1,14,L1_CP_zone_2,L1_CP_zone_2,"{'L1_CP_zone_1': 2, 'L1_CP_zone_2': 7, 'L1_CP_zone_3': 1}",7,3,10,0.3,10,1
14,14,123,VuaVsn,ED:76:03:2D:AD,,,"EDDYSTONE_UID,KONTAKT,KONTAKT_TLM",f7826da6bc5b71e00115,3,350,100,1,15,L1_CP_zone_3,L1_CP_zone_3,"{'L1_Yassin_walkway': 3, 'L1_CP_zone_2': 7, 'L1_CP_zone_3': 29, 'L1_CP_zone_4': 9, 'L1_Fish_pond': 6, 'L1_Entrance_3': 3, 'L1_Entrance_3_4_walkway': 1}",29,29,58,0.5,45,0.775862069
15,15,110,suSQEt,EC:45:34:A0:33,,,"EDDYSTONE_UID,KONTAKT,KONTAKT_TLM",f7826da6bc5b71e00116,2,350,100,1,16,L1_CP_zone_1,L1_CP_zone_1,"{'L1_Entrance_7': 4, 'L1_CP_zone_1': 14, 'L1_Shop_walkway_4': 1, 'L1_CP_zone_2': 1}",14,6,20,0.3,19,0.95
16,16,40,suRLGc,D6:B6:39:2C:EC,23,0,"EDDYSTONE_UID,KONTAKT,KONTAKT_TLM",f7826da6bc5b71e00117,1,350,100,1,17,L1_R1_LL_walkway,L1_R1_LL_walkway,"{'L1_R1_LL_walkway': 22, 'L1_Entrance_1_lobby': 1}",22,1,23,0.043478261,23,1
17,17,7,su5GUW,D4:9D:D8:0A:50,21,7,"EDDYSTONE_UID,KONTAKT,KONTAKT_TLM",f7826da6bc5b71e00118,1,350,100,1,18,L1_Entrance_2,L1_Entrance_2,"{'L1_Entrance_2': 12, 'L1_R1_LL_walkway': 4, 'L1_Entrance_2_3_walkway': 1}",12,5,17,0.294117647,17,1
18,18,79,sunYlY,C4:5C:7F:A4:C1,22,21,"EDDYSTONE_UID,KONTAKT,KONTAKT_TLM",f7826da6bc5b71e00119,1,350,100,1,19,L6_CLL,Yassin_walkway,{'L1_R1_LL': 6},0,6,6,1,0,0
19,19,45,suTpSB,E5:BC:BF:D8:07,20,1,"EDDYSTONE_UID,KONTAKT,KONTAKT_TLM",f7826da6bc5b71e00120,1,350,100,1,20,L1_Entrance_3,L1_Entrance_3,"{'L1_Fish_pond': 4, 'L1_Entrance_3': 20, 'L1_Entrance_2': 4, 'L1_Entrance_3_4_walkway': 2}",20,10,30,0.333333333,24,0.8
20,20,121,VuEgLr,D2:96:51:BA:6F,,,"EDDYSTONE_UID,KONTAKT,KONTAKT_TLM",f7826da6bc5b71e00121,2,350,100,1,21,L1_Fish_pond,L1_Fish_pond,"{'L1_Fish_pond': 17, 'L1_CP_zone_4': 2}",17,2,19,0.105263158,19,1
21,21,80,suniIG,DA:30:9B:E5:7F,25,24,"EDDYSTONE_UID,KONTAKT,KONTAKT_TLM",f7826da6bc5b71e00122,1,350,100,1,22,L1_R2_LL,L1_R2_LL,{'L1_R2_LL': 9},9,0,9,0,9,1
22,22,50,suXXRJ,C0:C4:91:32:F1,22,5,"EDDYSTONE_UID,KONTAKT,KONTAKT_TLM",f7826da6bc5b71e00123,1,350,100,1,23,L1_Entrance_4,L1_Entrance_4,"{'L1_Entrance_5': 3, 'L1_Entrance_4': 22, 'L1_Thoroughfare': 1, 'L1_Entrance_3_4_walkway': 1}",22,5,27,0.185185185,26,0.962962963
23,23,42,suRuPN,FE:4F:A8:B9:F6,22,2,"EDDYSTONE_UID,KONTAKT,KONTAKT_TLM",f7826da6bc5b71e00124,1,350,100,1,24,L1_Entrance_5,L1_Entrance_5,"{'L1_Entrance_5': 17, 'L1_Entrance_6': 2, 'L1_Thoroughfare': 3, 'L1_PG': 3}",17,8,25,0.32,25,1
24,24,57,subNpF,E3:EB:5C:98:FE,23,9,"EDDYSTONE_UID,KONTAKT,KONTAKT_TLM",f7826da6bc5b71e00124,1,350,100,1,25,L1_Entrance_6,L1_Entrance_6,"{'L1_Entrance_6': 17, 'L1_Thoroughfare': 5}",17,5,22,0.227272727,22,1
25,25,81,sunl0a,D1:76:80:C7:EE,22,2,"EDDYSTONE_UID,KONTAKT,KONTAKT_TLM",f7826da6bc5b71e00126,2,350,100,1,26,L1_PG,L1_PG,"{'L1_PG': 26, 'L1_Thoroughfare': 2, 'L1_Entrance_5': 1}",26,3,29,0.103448276,29,1
26,26,82,suoM7s,E1:F1:5E:56:CB,21,1,"EDDYSTONE_UID,KONTAKT,KONTAKT_TLM",f7826da6bc5b71e00127,3,350,100,1,27,L1_Thoroughfare,L1_Thoroughfare,"{'L1_Entrance_7': 3, 'L1_Thoroughfare': 24, 'L1_PG': 15, 'L1_Entrance_5': 4, 'L1_Entrance_6': 1}",24,23,47,0.489361702,47,1
27,27,101,suvivK,DB:BF:3B:30:C8,23,6,"EDDYSTONE_UID,KONTAKT,KONTAKT_TLM",f7826da6bc5b71e00201,3,350,100,2,1,L2_SLL_corridor,L2_SLL_corridor,"{'L2_SLL': 2, 'L2_SLL_corridor': 20, 'L2_FC_zone_5_walkway': 3}",20,5,25,0.2,25,1
28,28,70,suiFJm,D7:74:9D:AF:39,21,8,"EDDYSTONE_UID,KONTAKT,KONTAKT_TLM",f7826da6bc5b71e00202,1,350,100,2,2,L2_SLL,L2_SLL,"{'L2_SLL': 31, 'L2_SLL_corridor': 2}",31,2,33,0.060606061,33,1
29,29,96,suu0cq,E3:0A:01:49:E5,22,2,"EDDYSTONE_UID,KONTAKT,KONTAKT_TLM",f7826da6bc5b71e00203,3,350,100,2,3,L2_FC_zone_5,L2_FC_zone_5,"{'L2_FC_zone_4': 5, 'L2_FC_zone_6': 5, 'L2_FC_zone_5_walkway': 19, 'L2_FC_zone_5': 24, 'L2_FC_zone_1': 2, 'L2_CLL': 2}",24,33,57,0.578947368,48,0.842105263
30,30,86,suqV7o,ED:A3:94:2E:96,19,0,"EDDYSTONE_UID,KONTAKT,KONTAKT_TLM",f7826da6bc5b71e00204,1,350,100,2,4,L2_CLL,L2_CLL,"{'L2_FC_zone_7': 3, 'L2_FC_zone_6': 20, 'L2_CLL': 16, 'L2_FC_zone_5_walkway': 2}",16,25,41,0.609756098,36,0.87804878
31,31,75,sukFyS,FD:B1:93:37:F1,22,13,"EDDYSTONE_UID,KONTAKT,KONTAKT_TLM",f7826da6bc5b71e00205,1,350,100,2,5,L2_CLL,L2_CLL,"{'L2_FC_zone_8_walkway': 2, 'L2_FC_zone_6': 2, 'L2_CLL': 30, 'L2_FC_zone_1': 1}",30,5,35,0.142857143,34,0.971428571
32,32,19,suEURS,D3:81:82:B1:B6,21,0,"EDDYSTONE_UID,KONTAKT,KONTAKT_TLM",f7826da6bc5b71e00206,3,350,100,2,6,L2_FC_zone_7,L2_FC_zone_7,"{'L2_FC_zone_9_walkway': 5, 'L2_FC_zone_11': 3, 'L2_FC_zone_7': 46, 'L2_ELL_1': 5, 'L2_FC_zone_6': 1, 'L2_FC_zone_9': 2, 'L2_FC_zone_8_walkway': 1}",46,17,63,0.26984127,61,0.968253968
33,33,88,sur23S,C9:AE:E0:EC:91,21,0,"EDDYSTONE_UID,KONTAKT,KONTAKT_TLM",f7826da6bc5b71e00207,1,350,100,2,7,L2_ELL_1,L2_ELL_1,"{'L2_FC_zone_11': 4, 'L2_ELL_1': 19, 'L2_ELL_2': 4}",19,8,27,0.296296296,23,0.851851852
34,34,76,sukclO,FB:68:48:34:E6,24,23,"EDDYSTONE_UID,KONTAKT,KONTAKT_TLM",f7826da6bc5b71e00208,1,350,100,2,8,L2_ELL_2,L2_ELL_2,"{'L2_ELL_1': 5, 'L2_ELL_2': 24}",24,5,29,0.172413793,29,1
35,35,92,susY9k,D2:71:9B:1A:06,24,1,"EDDYSTONE_UID,KONTAKT,KONTAKT_TLM",f7826da6bc5b71e00209,3,350,100,2,9,L2_FC_zone_4,L2_FC_zone_4,"{'L2_SLL_corridor': 20, 'L2_FC_zone_4': 28, 'L2_FC_zone_3': 2, 'L2_FC_zone_1': 16, 'L2_FC_zone_8': 5, 'L2_FC_zone_8_walkway': 1, 'L2_FC_zone_5': 1, 'L2_FC_zone_11': 1}",28,46,74,0.621621622,68,0.918918919
36,36,31,suJWxc,FB:03:4B:EF:5C,21,0,"EDDYSTONE_UID,KONTAKT,KONTAKT_TLM",f7826da6bc5b71e00210,3,350,100,2,10,L2_FC_zone_3,L2_FC_zone_3,"{'L2_FC_zone_4': 5, 'L2_FC_zone_3': 13, 'L2_FC_zone_2': 4}",13,9,22,0.409090909,22,1
37,37,60,subzfF,D9:A8:45:F7:44,24,1,"EDDYSTONE_UID,KONTAKT,KONTAKT_TLM",f7826da6bc5b71e00211,1,350,100,2,11,L2_FC_zone_2,L2_FC_zone_2,"{'L2_FC_zone_3': 3, 'L2_FC_zone_2': 13}",13,3,16,0.1875,16,1
38,38,69,sui0X6,EF:C9:AA:E8:D1,21,13,"EDDYSTONE_UID,KONTAKT,KONTAKT_TLM",f7826da6bc5b71e00212,1,350,100,2,12,L2_FC_zone_1,L2_FC_zone_1,{'L2_FC_zone_1': 10},10,0,10,0,10,1
39,39,48,suWpRn,EA:C0:30:75:A7,23,10,"EDDYSTONE_UID,KONTAKT,KONTAKT_TLM",f7826da6bc5b71e00213,3,350,100,2,13,L2_FC_zone_8,L2_FC_zone_8,"{'L2_FC_zone_8': 21, 'L2_FC_zone_8_walkway': 7, 'L2_FC_zone_9_walkway': 1, 'L2_FC_zone_1': 4, 'L1_Yassin_walkway': 2, 'L1_CP_zone_2': 2, 'L1_CP_zone_3': 4, 'L1_CP_zone_4': 2, 'L2_FC_zone_7': 1, 'L1_Entrance_3_4_walkway': 2, 'L1_CP_zone_1': 4}",21,29,50,0.58,32,0.64
40,40,37,suOiqx,FD:13:B0:FE:61,25,1,"EDDYSTONE_UID,KONTAKT,KONTAKT_TLM",f7826da6bc5b71e00214,1,350,100,2,14,L2_FC_zone_9,L2_FC_zone_9,"{'L2_FC_zone_9': 10, 'L2_FC_zone_9_walkway': 1}",10,1,11,0.090909091,11,1
41,41,17,suCMrZ,FC:52:BE:90:23,22,22,"EDDYSTONE_UID,KONTAKT,KONTAKT_TLM",f7826da6bc5b71e00215,1,350,100,2,15,L2_FC_zone_9,L2_FC_zone_9,"{'L2_FC_zone_9': 6, 'L2_FC_zone_10': 5, 'L2_FC_zone_9_walkway': 1}",6,6,12,0.5,12,1
42,42,62,sudh2a,CF:3D:F9:8F:21,24,17,"EDDYSTONE_UID,KONTAKT,KONTAKT_TLM",f7826da6bc5b71e00216,3,350,100,2,16,L2_FC_zone_11,L2_FC_zone_11,"{'L2_FC_zone_9_walkway': 3, 'L2_FC_zone_10': 1, 'L2_FC_zone_11': 25, 'L2_FC_zone_8_walkway': 2, 'L2_FC_zone_7': 2}",25,8,33,0.242424242,31,0.939393939
43,43,53,suYEOk,C1:82:77:30:8A,25,19,"EDDYSTONE_UID,KONTAKT,KONTAKT_TLM",f7826da6bc5b71e00401,1,350,100,4,1,L4_R1_LL,L4_R1_LL,{'L4_R1_LL': 18},18,0,18,0,18,1
44,44,97,suu9Hz,E3:D1:09:3E:29,24,1,"EDDYSTONE_UID,KONTAKT,KONTAKT_TLM",f7826da6bc5b71e00402,1,350,100,4,2,L4_R1_garden,L4_R1_garden,"{'L4_R1_garden': 7, 'L4_R1_deck': 5}",7,5,12,0.416666667,12,1
45,45,41,suRYqx,DD:1B:82:D5:76,24,0,"EDDYSTONE_UID,KONTAKT,KONTAKT_TLM",f7826da6bc5b71e00403,1,350,100,4,3,L4_ST_walkway,L4_ST_walkway,"{'L4_ST_walkway': 7, 'L4_ST_1': 2}",7,2,9,0.222222222,9,1
46,46,100,suvWtf,CB:71:01:77:1C,21,11,"EDDYSTONE_UID,KONTAKT,KONTAKT_TLM",f7826da6bc5b71e00404,1,350,100,4,4,L4_ST_1,L4_ST_1,{'L4_ST_1': 7},7,0,7,0,7,1
47,47,68,suhmM2,F4:AA:59:F7:5E,21,7,"EDDYSTONE_UID,KONTAKT,KONTAKT_TLM",f7826da6bc5b71e00405,1,350,100,4,5,L4_ST_2,L4_ST_2,{'L4_ST_2': 18},18,0,18,0,18,1
48,48,77,sukvSc,CA:96:64:FA:11,25,1,"EDDYSTONE_UID,KONTAKT,KONTAKT_TLM",f7826da6bc5b71e00406,1,350,100,4,6,L4_R2_LL,L4_R2_LL,"{'L4_R2_LL_corridor': 2, 'L4_R2_LL': 8}",8,2,10,0.2,10,1
49,49,44,suTd1m,F8:50:8C:D7:83,21,0,"EDDYSTONE_UID,KONTAKT,KONTAKT_TLM",f7826da6bc5b71e00407,1,350,100,4,7,L4_R2_deck,L4_R2_deck,"{'L4_R2_deck': 13, 'L4_R2_garden': 5}",13,5,18,0.277777778,18,1
50,50,49,suX8AF,DA:C3:80:73:49,23,3,"EDDYSTONE_UID,KONTAKT,KONTAKT_TLM",f7826da6bc5b71e00501,1,350,100,5,1,L6_R1_LL,L5_R1_LL,{'L6_R1_LL': 2},2,0,2,0,2,1
51,51,56,suardk,E3:BC:D1:A5:8A,22,0,"EDDYSTONE_UID,KONTAKT,KONTAKT_TLM",f7826da6bc5b71e00502,1,350,100,5,2,,L5_R2_LL,,0,0,0,,0,
52,52,33,suKeHy,E0:1F:FD:E9:DC,23,2,"EDDYSTONE_UID,KONTAKT,KONTAKT_TLM",f7826da6bc5b71e00601,1,350,100,6,1,L6_SLL,L6_SLL,"{'L6_SLL_corridor': 2, 'L6_SLL': 18}",18,2,20,0.1,20,1
53,53,30,suJP0P,E7:11:F3:12:76,19,2,"EDDYSTONE_UID,KONTAKT,KONTAKT_TLM",f7826da6bc5b71e00602,1,350,100,6,2,L6_CLL,L6_CLL,"{'L6_CLL': 60, 'L6_ST_3': 1}",60,1,61,0.016393443,61,1
54,54,84,suq5VL,C3:99:2E:D8:23,21,0,"EDDYSTONE_UID,KONTAKT,KONTAKT_TLM",f7826da6bc5b71e00603,1,350,100,6,3,L6_ELL,L6_ELL,{'L6_ELL': 26},26,0,26,0,26,1
